	year	num_level_1	num_level_3	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	pct_level_1	num_level_3_and_4	boroughBROOKLYN	boroughQUEENS	boroughMANHATTAN	boroughSTATEN ISLAND	boroughBRONX	bindemographic	grade6	grade5	grade8	grade3	grade7	gradeAll Grades	grade4
169	2006	4793	7188	21620	7922	41.2	642	1717	7.9	33.2	36.6	22.2	8905	1	0	0	0	0	0	0	0	1	0	0	0	0
170	2007	855	665	2527	929	29.4	629	78	3.1	26.3	36.8	33.8	743	1	0	0	0	0	1	0	0	1	0	0	0	0
171	2007	3728	7947	21152	7445	47.2	649	2032	9.6	37.6	35.2	17.6	9979	1	0	0	0	0	0	0	0	1	0	0	0	0
172	2008	407	784	2017	716	44.3	643	110	5.5	38.9	35.5	20.2	894	1	0	0	0	0	1	0	0	1	0	0	0	0
173	2008	1970	9678	20781	6123	61.1	660	3010	14.5	46.6	29.5	9.5	12688	1	0	0	0	0	0	0	0	1	0	0	0	0
174	2009	244	1148	2358	802	55.6	653	164	7.0	48.7	34.0	10.3	1312	1	0	0	0	0	1	0	0	1	0	0	0	0
175	2009	836	11530	20472	4960	71.7	668	3146	15.4	56.3	24.2	4.1	14676	1	0	0	0	0	0	0	0	1	0	0	0	0
176	2010	636	583	2589	1159	30.7	659	211	8.1	22.5	44.8	24.6	794	1	0	0	0	0	1	0	0	1	0	0	0	0
177	2010	2443	6085	20260	8160	47.7	674	3572	17.6	30.0	40.3	12.1	9657	1	0	0	0	0	0	0	0	1	0	0	0	0
178	2011	539	735	2591	1048	38.7	661	269	10.4	28.4	40.4	20.8	1004	1	0	0	0	0	1	0	0	1	0	0	0	0
179	2011	2017	6973	19583	7086	53.5	675	3507	17.9	35.6	36.2	10.3	10480	1	0	0	0	0	0	0	0	1	0	0	0	0
180	2012	451	795	2513	1019	41.5	664	248	9.9	31.6	40.5	17.9	1043	1	0	0	0	0	1	0	0	1	0	0	0	0
181	2012	1452	7129	19149	6883	56.5	678	3685	19.2	37.2	35.9	7.6	10814	1	0	0	0	0	0	0	0	1	0	0	0	0
182	2006	4587	5268	15672	4937	39.2	635	880	5.6	33.6	31.5	29.3	6148	1	0	0	0	0	1	0	0	0	0	0	1	0
183	2006	17272	53747	124108	33493	59.1	658	19596	15.8	43.3	27.0	13.9	73343	1	0	0	0	0	0	0	0	0	0	0	1	0
184	2007	3519	6342	16075	4847	48.0	646	1367	8.5	39.5	30.2	21.9	7709	1	0	0	0	0	1	0	0	0	0	0	1	0
185	2007	11456	56553	121464	28829	66.8	667	24626	20.3	46.6	23.7	9.4	81179	1	0	0	0	0	0	0	0	0	0	0	1	0
