year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2008	MANHATTAN	346	3779	EP	7321	917	82.7	684	2279	31.1	51.6	12.5	4	4.7	6058
2009	MANHATTAN	163	961	ELL	1796	371	70.3	668	301	16.8	53.5	20.7	4	9.1	1262
2009	MANHATTAN	306	3199	EP	7126	649	86.6	694	2972	41.7	44.9	9.1	4	4.3	6171
2010	MANHATTAN	252	539	ELL	1906	919	38.6	668	196	10.3	28.3	48.2	4	13.2	735
2010	MANHATTAN	407	2436	EP	7337	2123	65.5	692	2371	32.3	33.2	28.9	4	5.5	4807
2011	MANHATTAN	247	573	ELL	1745	750	42.9	670	175	10	32.8	43	4	14.2	748
2011	MANHATTAN	330	2578	EP	7239	1820	70.3	694	2511	34.7	35.6	25.1	4	4.6	5089
2012	MANHATTAN	216	504	ELL	1561	648	44.7	670	193	12.4	32.3	41.5	4	13.8	697
2012	MANHATTAN	337	2573	EP	7349	1687	72.5	695	2752	37.4	35	23	4	4.6	5325
2006	MANHATTAN	613	509	ELL	1812	614	32.3	632	76	4.2	28.1	33.9	5	33.8	585
2006	MANHATTAN	824	3633	EP	7974	1974	64.9	665	1543	19.4	45.6	24.8	5	10.3	5176
2007	MANHATTAN	347	641	ELL	1675	603	43.3	643	84	5	38.3	36	5	20.7	725
2007	MANHATTAN	370	3962	EP	7656	1554	74.9	674	1770	23.1	51.8	20.3	5	4.8	5732
2008	MANHATTAN	216	702	ELL	1458	435	55.3	650	105	7.2	48.1	29.8	5	14.8	807
2008	MANHATTAN	296	3862	EP	7456	1138	80.8	680	2160	29	51.8	15.3	5	4	6022
2009	MANHATTAN	94	875	ELL	1500	316	72.7	666	215	14.3	58.3	21.1	5	6.3	1090
2009	MANHATTAN	141	3535	EP	7224	672	88.7	689	2876	39.8	48.9	9.3	5	2	6411
2010	MANHATTAN	259	481	ELL	1606	737	38	665	129	8	30	45.9	5	16.1	610
2010	MANHATTAN	438	2457	EP	6939	1906	66.2	688	2138	30.8	35.4	27.5	5	6.3	4595
2011	MANHATTAN	266	425	ELL	1522	715	35.5	665	116	7.6	27.9	47	5	17.5	541
2011	MANHATTAN	329	2739	EP	7175	1868	69.4	691	2239	31.2	38.2	26	5	4.6	4978
2012	MANHATTAN	306	420	ELL	1404	550	39	663	128	9.1	29.9	39.2	5	21.8	548
2012	MANHATTAN	456	2386	EP	7078	1701	69.5	693	2535	35.8	33.7	24	5	6.4	4921
2006	MANHATTAN	570	340	ELL	1522	562	25.6	625	50	3.3	22.3	36.9	6	37.5	390
2006	MANHATTAN	1056	3839	EP	8575	2469	58.9	657	1211	14.1	44.8	28.8	6	12.3	5050
2007	MANHATTAN	482	466	ELL	1515	522	33.7	631	45	3	30.8	34.5	6	31.8	511
2007	MANHATTAN	661	3648	EP	7701	1828	67.7	667	1564	20.3	47.4	23.7	6	8.6	5212
2008	MANHATTAN	237	607	ELL	1357	451	49.3	644	62	4.6	44.7	33.2	6	17.5	669
2008	MANHATTAN	474	3854	EP	7738	1486	74.7	672	1924	24.9	49.8	19.2	6	6.1	5778
2009	MANHATTAN	158	594	ELL	1315	485	51.1	650	78	5.9	45.2	36.9	6	12	672
2009	MANHATTAN	258	3816	EP	7484	1145	81.3	681	2265	30.3	51	15.3	6	3.4	6081
2010	MANHATTAN	372	228	ELL	1370	680	23.2	652	90	6.6	16.6	49.6	6	27.2	318
2010	MANHATTAN	610	2266	EP	7307	2356	59.4	681	2075	28.4	31	32.2	6	8.3	4341
2011	MANHATTAN	354	346	ELL	1424	637	30.4	657	87	6.1	24.3	44.7	6	24.9	433
2011	MANHATTAN	521	2214	EP	7019	1952	64.8	686	2332	33.2	31.5	27.8	6	7.4	4546
2012	MANHATTAN	266	326	ELL	1281	587	33.4	658	102	8	25.4	45.8	6	20.8	428
2012	MANHATTAN	531	2294	EP	7416	1891	67.3	687	2700	36.4	30.9	25.5	6	7.2	4994
2006	MANHATTAN	675	318	ELL	1755	727	20.1	616	35	2	18.1	41.4	7	38.5	353
2006	MANHATTAN	1179	3330	EP	8605	3252	48.5	647	844	9.8	38.7	37.8	7	13.7	4174
